109.236.80.151
Sep/30/2020 18:35:34 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49268->192.168.88.1:80, len 52
Sep/30/2020 18:35:34 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:56658->192.168.88.1:53, len 61
Sep/30/2020 18:35:34 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:56658->192.168.88.1:53, len 61
Sep/30/2020 18:35:52 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:68->192.168.88.1:67, len 344
Sep/30/2020 18:35:52 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:68->192.168.88.1:67, len 344
Sep/30/2020 18:35:55 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:51471->192.168.88.1:53, len 80
Sep/30/2020 18:35:55 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:51471->192.168.88.1:53, len 80
Sep/30/2020 18:35:57 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:56411->192.168.88.1:53, len 72
Sep/30/2020 18:35:57 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:56411->192.168.88.1:53, len 72
Sep/30/2020 18:36:01 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:65286->192.168.88.1:53, len 88
Sep/30/2020 18:36:01 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:65286->192.168.88.1:53, len 88
Sep/30/2020 18:36:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61311->192.168.88.1:53, len 57
Sep/30/2020 18:36:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61311->192.168.88.1:53, len 57
178.211.33.206
Sep/30/2020 18:36:15 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49279->192.168.88.1:80, len 52
Sep/30/2020 18:36:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:52047->192.168.88.1:53, len 76
Sep/30/2020 18:36:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:52047->192.168.88.1:53, len 76
Sep/30/2020 18:36:27 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:63369->192.168.88.1:53, len 72
Sep/30/2020 18:36:27 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:63369->192.168.88.1:53, len 72
Sep/30/2020 18:36:30 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:53518->192.168.88.1:53, len 77
Sep/30/2020 18:36:30 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:53518->192.168.88.1:53, len 77
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49291->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49291->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49292->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49292->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49293->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49293->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49294->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49294->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49295->192.168.88.1:80, len 52
Sep/30/2020 18:36:32 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49295->192.168.88.1:80, len 52
Sep/30/2020 18:36:43 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:53277->192.168.88.1:53, len 65
Sep/30/2020 18:36:43 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:53277->192.168.88.1:53, len 65
Sep/30/2020 18:37:00 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:37:00 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:37:00 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61499->192.168.88.1:53, len 61
Sep/30/2020 18:37:00 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61499->192.168.88.1:53, len 61
Sep/30/2020 18:37:01 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:37:01 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:37:01 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:37:01 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:37:03 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:50236->192.168.88.1:53, len 55
Sep/30/2020 18:37:03 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:50236->192.168.88.1:53, len 55
Sep/30/2020 18:37:03 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:65274->192.168.88.1:53, len 66
Sep/30/2020 18:37:03 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:65274->192.168.88.1:53, len 66
Sep/30/2020 18:37:03 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:54122->192.168.88.1:53, len 53
Sep/30/2020 18:37:03 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:54122->192.168.88.1:53, len 53
Sep/30/2020 18:37:04 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:60096->192.168.88.1:53, len 61
Sep/30/2020 18:37:04 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:60096->192.168.88.1:53, len 61
Sep/30/2020 18:37:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61229->192.168.88.1:53, len 60
Sep/30/2020 18:37:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61229->192.168.88.1:53, len 60
Sep/30/2020 18:37:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:52962->192.168.88.1:53, len 61
Sep/30/2020 18:37:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:52962->192.168.88.1:53, len 61
Sep/30/2020 18:37:15 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:57554->192.168.88.1:53, len 69
Sep/30/2020 18:37:15 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:57554->192.168.88.1:53, len 69
Sep/30/2020 18:37:17 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:64368->192.168.88.1:53, len 59
Sep/30/2020 18:37:17 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:64368->192.168.88.1:53, len 59
Sep/30/2020 18:37:17 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:64072->192.168.88.1:53, len 88
Sep/30/2020 18:37:17 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:64072->192.168.88.1:53, len 88
Sep/30/2020 18:37:18 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55068->192.168.88.1:53, len 72
Sep/30/2020 18:37:18 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55068->192.168.88.1:53, len 72
Sep/30/2020 18:37:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:54350->192.168.88.1:53, len 69
Sep/30/2020 18:37:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:54350->192.168.88.1:53, len 69
Sep/30/2020 18:37:24 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55598->192.168.88.1:53, len 59
Sep/30/2020 18:37:24 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55598->192.168.88.1:53, len 59
Sep/30/2020 18:37:25 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55240->192.168.88.1:53, len 83
Sep/30/2020 18:37:25 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55240->192.168.88.1:53, len 83
Sep/30/2020 18:37:25 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:56494->192.168.88.1:53, len 78
Sep/30/2020 18:37:25 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:56494->192.168.88.1:53, len 78
Sep/30/2020 18:37:26 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:58155->192.168.88.1:53, len 77
Sep/30/2020 18:37:26 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:58155->192.168.88.1:53, len 77
Sep/30/2020 18:37:33 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49318->192.168.88.1:80, len 52
Sep/30/2020 18:37:33 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49318->192.168.88.1:80, len 52
Sep/30/2020 18:37:45 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49321->192.168.88.1:80, len 52
Sep/30/2020 18:37:45 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto TCP (SYN), 192.168.88.254:49321->192.168.88.1:80, len 52
Sep/30/2020 18:37:52 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:138->192.168.88.255:138, len 229
Sep/30/2020 18:37:52 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:138->192.168.88.255:138, len 229
Sep/30/2020 18:37:57 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61005->192.168.88.1:53, len 72
Sep/30/2020 18:37:57 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:61005->192.168.88.1:53, len 72
Sep/30/2020 18:38:12 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:12 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:12 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:12 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:12 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:59596->192.168.88.1:53, len 65
Sep/30/2020 18:38:12 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:59596->192.168.88.1:53, len 65
Sep/30/2020 18:38:13 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:13 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:13 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:13 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:62452->192.168.88.1:53, len 74
Sep/30/2020 18:38:14 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:62452->192.168.88.1:53, len 74
Sep/30/2020 18:38:16 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:58059->192.168.88.1:53, len 77
